timestamp_ms,frame_time_ms,fps
8821.381,0.507,1971.652
8821.896,0.414,2413.489
8822.316,0.457,2189.434
8822.778,0.385,2599.320
8823.167,0.404,2477.682
8823.575,0.388,2579.194
8823.968,0.375,2669.742
8824.347,0.391,2555.368
8824.743,0.377,2655.669
8825.124,0.377,2652.344
8825.506,0.395,2528.535
8825.905,0.374,2674.133
8826.284,0.391,2559.568
8826.679,0.375,2663.485
8827.059,0.375,2666.212
8827.439,0.394,2540.302
8827.837,0.373,2680.642
8828.215,0.411,2432.871
8828.630,0.390,2567.388
8829.024,0.377,2651.135
8829.406,0.505,1981.069
8829.916,0.452,2211.973
8830.373,0.497,2013.271
8830.874,0.448,2233.688
8831.335,0.374,2675.499
8831.717,3.814,262.196
8835.595,0.543,1843.243
8836.143,0.458,2182.548
8836.607,0.447,2237.096
8837.059,0.417,2398.352
8837.481,0.402,2484.577
8837.888,0.408,2452.826
8838.301,0.418,2394.149
8838.724,0.408,2451.377
8839.137,0.432,2312.502
8839.578,0.458,2183.749
8840.041,0.408,2452.014
8840.454,0.458,2183.335
8840.918,0.436,2292.873
8841.359,0.470,2125.588
8841.834,0.420,2378.364
8842.259,0.505,1982.098
8842.768,0.432,2314.284
8843.205,0.442,2263.007
8843.652,0.432,2313.465
8844.089,0.440,2272.738
8844.535,0.428,2335.063
8844.969,0.429,2331.318
8845.405,0.412,2428.322
8845.822,0.402,2487.686
8846.229,0.472,2116.577
8846.707,0.416,2401.681
8847.128,0.458,2183.945
8847.594,3.515,284.472
8851.128,0.516,1939.838
8851.649,0.395,2531.831
8852.049,0.387,2585.696
8852.441,0.410,2436.819
8852.856,0.379,2639.651
8853.239,0.392,2548.608
8853.636,0.428,2334.883
8854.069,0.379,2638.878
8854.453,0.392,2550.259
8854.849,0.404,2477.965
8855.258,0.393,2543.022
8855.655,0.430,2324.165
8856.090,0.373,2683.858
8856.467,0.385,2594.370
8856.857,0.377,2653.400
8857.238,0.383,2608.480
8857.626,0.387,2587.215
8858.017,0.372,2689.191
8858.394,0.375,2663.960
8858.774,0.370,2699.128
8859.148,0.372,2691.131
8859.525,0.385,2596.775
8859.914,0.370,2706.199
8860.288,0.389,2572.585
8860.682,0.371,2697.890
8861.057,0.370,2705.298
8861.431,0.388,2574.347
8861.824,0.369,2710.372
8862.197,0.392,2549.219
8862.594,0.364,2748.174
8862.962,0.438,2283.517
8863.405,0.379,2637.479
8863.788,3.866,258.690
8867.696,0.617,1621.389
8868.318,0.412,2429.626
8868.734,0.387,2587.215
8869.125,0.402,2486.950
8869.532,0.390,2562.204
8869.928,0.375,2665.380
8870.308,0.379,2637.221
8870.691,0.375,2667.776
8871.071,0.396,2525.240
8871.472,0.379,2640.424
8871.855,0.390,2567.124
8872.250,0.416,2401.756
8872.671,0.437,2285.981
8873.113,0.379,2636.241
8873.497,0.437,2287.314
8873.939,0.371,2697.854
8874.314,0.439,2279.067
8874.758,0.377,2655.725
8875.139,0.371,2694.786
8875.515,0.429,2330.883
8875.949,0.372,2689.083
8876.328,0.418,2393.301
8876.751,0.377,2650.622
8877.133,0.370,2699.084
8877.508,0.430,2325.765
8877.943,0.377,2651.170
8878.325,0.404,2475.750
8878.734,0.499,2005.857
8879.237,0.539,1855.270
8879.781,0.462,2165.411
8880.269,0.474,2109.482
8880.749,0.485,2062.396
8881.240,3.795,263.500
8885.055,0.481,2080.287
8885.541,0.390,2565.675
8885.936,0.385,2594.162
8886.326,0.543,1842.204
8886.873,0.471,2121.638
8887.351,0.509,1965.324
8887.866,0.428,2338.662
8888.301,0.444,2250.650
8888.750,0.376,2657.489
8889.131,0.456,2191.622
8889.594,0.398,2511.635
8889.997,0.394,2540.295
8890.401,0.374,2673.718
8890.780,0.373,2683.476
8891.157,0.461,2167.946
8891.624,0.491,2038.707
8892.119,0.392,2551.548
8892.516,0.399,2509.316
8892.919,0.416,2404.424
8893.340,0.401,2491.429
8893.746,0.398,2513.346
8894.149,0.420,2381.094
8894.575,0.380,2629.150
8894.960,0.396,2523.169
8895.362,0.397,2518.372
8895.764,0.395,2533.339
8896.163,0.410,2440.078
8896.578,0.395,2534.739
8896.978,0.405,2469.538
8897.388,3.709,269.593
8901.115,0.519,1927.094
8901.639,0.446,2240.083
8902.091,0.388,2574.977
8902.484,0.405,2467.564
8902.894,0.378,2647.779
8903.276,0.437,2287.403
8903.718,0.549,1822.991
8904.272,0.432,2314.392
8904.709,0.412,2429.065
8905.126,0.401,2495.502
8905.532,0.406,2460.364
8905.943,0.398,2515.426
8906.346,0.452,2214.320
8906.803,0.414,2417.006
8907.222,0.427,2344.336
8907.653,0.409,2446.621
8908.067,0.403,2480.786
8908.475,0.400,2502.503
8908.880,0.408,2451.840
8909.293,0.398,2509.612
8909.696,0.403,2482.246
8910.104,0.409,2447.339
8910.518,0.398,2511.200
8910.921,0.410,2439.203
8911.336,0.407,2459.504
8911.747,0.395,2530.659
8912.147,0.429,2329.330
8912.582,0.383,2609.229
8912.970,0.420,2382.478
8913.395,0.404,2472.591
8913.804,3.579,279.375
8917.405,0.498,2006.863
8917.908,0.368,2718.403
8918.280,0.456,2191.814
8918.751,0.618,1618.752
8919.377,0.401,2492.044
8919.783,0.409,2445.185
8920.197,0.428,2335.346
8920.631,0.482,2075.675
8921.118,0.463,2158.554
8921.587,0.419,2383.910
